isWin,pr,oppName,oppRating,oppPr,matchLength
false,4.08,gianniskefos,2034.65,15.6,7
true,2.3,avansverir,2117.55,11.42,9
true,4.46,Henrikilla,2250.55,3.48,7
true,4.17,Sanfermin3,2004.02,3.33,7
false,5.96,edris.ashhadi,2437.53,4.85,7
false,4.61,Glowmo,2403.13,6.07,7
true,4.01,sava3n,2429.75,4.0,11
true,3.82,dursuncetin,1925.45,7.93,7
false,2.46,Moa,2564.44,5.14,5
true,2.46,pangloss,1733.01,12.42,7
false,0.39,Sinops,1849.82,8.25,5
false,5.59,sonuc,2079.22,11.68,7
false,4.04,persicigo,2277.86,5.69,7
false,1.41,Soroosh,2068.52,5.34,7
true,1.94,Plata,1792.39,8.65,7
false,5.33,psc1992,2168.89,6.06,7
true,2.59,peiman_sh,1929.99,7.3,7
false,4.29,othello,2389.33,3.11,7
true,4.53,davorK,2012.96,10.52,5
false,5.19,sava3n,2426.46,2.28,11
false,2.8,gianniskefos,1948.55,5.5,7
true,3.2,kimhenno,2306.68,4.43,11
true,3.19,Henrikilla,2202.0,3.55,7
false,7.78,Moa,2566.26,4.57,5
false,3.53,Sanfermin3,2162.58,5.4,5
true,4.01,Johan Huyck,2334.18,3.36,7
true,1.46,alicarman,2014.7,2.75,7
false,5.42,Soroosh,2036.98,9.17,7
true,6.31,bahram1534,1964.68,23.22,7
false,2.39,maxlev,1936.67,4.29,7
false,2.31,erimitis,2450.64,6.86,7
true,4.5,kaanmutluol,1868.75,18.33,9
true,3.52,eyespy,2296.03,13.95,7
true,1.0,Icke,2058.94,6.56,5
false,4.0,5times,1999.7,3.87,7
true,2.76,IvolasARG,2134.96,2.57,11
true,2.69,ZicoBlack,2107.4,6.27,7
false,4.32,hakan80,2269.41,2.25,7
false,2.93,Master,1835.65,14.64,7
true,9.64,porfyyri,2176.96,6.03,7
false,3.18,farid,2244.84,1.95,7
true,3.7,gladiator,1912.04,9.32,7
true,4.13,dincer_gunes,1931.34,7.27,7
true,5.72,Parsa,1930.4,7.76,7
true,3.36,alicarman,2003.9,6.85,7
true,6.28,The Rebel,1810.03,10.44,7
true,2.13,RoyHobs,1881.71,4.95,7
true,5.0,Sub-Zero,2270.44,2.08,11
false,7.26,DasWerl,2325.28,4.05,5
true,3.32,MustangMike,1713.14,6.6,5
true,7.88,Nozoom,1977.35,7.1,7
false,3.7,ToBeOrNot,1881.11,11.86,5
true,2.62,Niebre,2199.38,3.37,7
true,5.94,Niebre,2204.25,3.15,7
true,3.46,hakan80,2308.2,5.0,7
false,2.99,xx484xx,1903.65,6.4,11
false,2.03,Maestr0,2597.84,6.28,7
false,3.75,Rino,2524.64,4.31,7
true,3.85,gianniskefos,1878.79,2.03,7
true,1.8,JB25,2359.08,2.81,7
false,2.0,y.s,2138.36,2.99,15
true,2.74,jahan,1799.02,7.31,7
true,3.38,y.s,2138.36,6.81,15
false,3.89,hoosierbgplayer,2752.44,2.03,7
true,2.19,PaSs,2162.16,2.26,9
false,4.42,y.s,2146.34,5.44,15
true,2.8,CHANGAMAN,1832.22,9.14,5
false,2.35,Playtonic,1607.12,6.24,5
false,3.68,squireOshakes,2422.66,7.1,7
true,6.0,Selbs,2063.04,3.33,5
false,3.62,Sahlén,2527.34,3.22,7
true,1.83,Sahlén,2514.94,2.67,7
false,1.9,JB25,2328.81,5.42,5
false,2.81,JB25,2328.81,2.78,7
false,2.61,parisestmagique,1843.64,10.38,7
true,12.19,C5H8NO4Na,2053.61,22.73,5
true,2.69,Murat Akbulut,2049.66,8.4,7
true,3.15,Lux,2161.23,2.97,7
true,5.57,Stelu,2032.35,4.22,7
true,3.45,arifozmaden,1768.38,8.28,9
true,2.82,Theis,2142.09,5.45,5
false,1.14,AndreasFranken,2017.3,5.63,7
false,2.71,IvolasARG,2273.42,7.1,9
false,3.57,briles,1860.07,6.61,9
true,2.44,FrankZappa,1952.96,6.58,7
true,2.23,dincer_gunes,1769.25,4.7,7
true,10.0,Alex10,1813.81,11.85,5
false,4.38,gianniskefos,1779.78,5.18,5
false,4.68,nightmare73,2342.07,6.95,9
true,6.1,Loki,2178.12,10.71,9
true,3.98,Littlekarpov,2348.74,5.27,7
false,8.38,kimhenno,2299.23,3.06,7
true,3.73,BoardLord,2017.7,7.77,7
true,1.48,cardcheckertwo,1826.89,6.16,5
false,3.47,DrSick,1906.48,8.1,5
false,1.11,Deinonychus,1699.63,5.0,5
false,1.06,Backaholic,1959.65,8.25,7
true,3.5,y.s,2188.48,10.36,15
false,2.96,Hirnakrobat,2278.38,3.9,7
true,4.08,Hamid.bagheri,1725.83,8.33,7
true,5.87,maxfriis,2111.59,8.27,5
false,3.26,H. Joo,1615.77,2.38,5
true,1.94,y.s,2194.13,10.0,15
true,2.4,Jangler,2000.32,8.13,7
true,7.08,J.E.D.I,2333.63,3.23,7
false,1.96,Littlekarpov,2344.13,4.69,7
false,4.47,Integral,2399.52,7.06,11
true,4.47,SOLITAIRE,1428.05,14.8,5
false,7.47,crashholly66,1484.54,8.63,5
true,3.21,sava3n,2187.98,7.25,11
true,2.83,Lux,2120.29,3.1,7
true,2.13,ehsan.m,1599.25,6.19,7
true,2.32,Mohammad Shafaghat,1458.0,18.82,5
true,4.02,The Shust,1907.0,8.19,7
false,2.57,The Shust,1909.74,9.8,5
true,2.25,eyespy,2446.21,3.27,7
true,3.1,eighttimez8,1836.64,11.97,5
false,1.22,jyri,1764.94,6.5,5
true,2.79,tals,2088.5,2.92,5
true,3.57,Jimbo,1537.86,7.24,7
true,7.96,JB25,2065.66,1.18,7
true,1.85,daniel0502,2040.19,9.43,7
false,1.19,Niebre,2177.43,4.88,7
true,1.75,RobertOttawa,1897.85,7.75,7
false,2.12,HakanInce,1920.33,8.54,5
false,1.79,wollie,2394.17,3.38,7
true,5.9,sita,2094.99,4.93,5
true,4.26,2020,1912.33,5.73,7
false,2.97,Glowmo,2432.49,4.17,5
false,4.89,PaSs,2060.01,5.36,7
true,3.38,Theis,2086.26,2.94,5
true,2.45,meijinmike,1893.5,7.96,9
true,1.58,jyri,1737.42,7.53,5
true,6.45,BakuGammon,1762.21,1.85,5
false,8.79,SaiSai,1455.27,9.44,5
true,2.94,BoardLord,1999.72,3.93,7
false,4.75,DH_awake,2032.94,10.49,7
true,0.0,Fardinzand,1323.94,463.5,7
true,0.3,rotenfels,2109.41,5.37,5
false,5.81,48maris,1800.2,9.68,7
false,4.46,Backaholic,1908.17,6.27,7
false,2.78,Jangler,2100.74,7.04,11
true,9.18,zoeffff,2161.4,19.02,5
true,3.72,hosseyn.khoob,1952.61,10.0,7
true,3.11,kimhenno,2298.7,5.32,13
true,6.7,Mattias Roos,1959.63,6.49,5
false,6.46,RobertOttawa,1859.45,6.31,5
true,1.81,be_galactic,1712.28,11.94,7
true,2.93,jorghe,2257.54,5.93,7
true,2.84,DasWerl,2409.08,2.53,9
true,1.92,gardakvarnen,2293.36,4.36,7
true,2.22,Thomas2205,1789.83,10.3,5
true,5.0,Asa,1507.72,6.88,5
